industry_code,is_loan_eligible,employee_limit,has_special_condition,max_revenue
16232,1,10,0,8000000000
16291,1,10,0,8000000000
16292,1,10,0,8000000000
16299,1,10,0,8000000000
16300,1,10,0,8000000000
17101,1,10,0,8000000000
17102,1,10,0,8000000000
17103,1,10,0,8000000000
17104,1,10,0,8000000000
17105,1,10,0,8000000000
17106,1,10,0,8000000000
17109,1,10,0,8000000000
17211,1,10,0,8000000000
17212,1,10,0,8000000000
17221,1,10,0,8000000000
17222,1,10,0,8000000000
17223,1,10,0,8000000000
17229,1,10,0,8000000000
17901,1,10,0,8000000000
17902,1,10,0,8000000000
17903,1,10,0,8000000000
17904,1,10,0,8000000000
17909,1,10,0,8000000000
18111,1,10,0,8000000000
18112,1,10,0,8000000000
18113,1,10,0,8000000000
18119,1,10,0,8000000000
18121,1,10,0,8000000000
18122,1,10,0,8000000000
18129,1,10,0,8000000000
18200,1,10,0,8000000000
19100,1,10,0,12000000000
19210,1,10,0,12000000000
19221,1,10,0,12000000000
19229,1,10,0,12000000000
20111,1,10,0,12000000000
20112,1,10,0,12000000000
20119,1,10,0,12000000000
20121,1,10,0,12000000000
20122,1,10,0,12000000000
20129,1,10,0,12000000000
20131,1,10,0,12000000000
20132,1,10,0,12000000000
20201,1,10,0,12000000000
20202,1,10,0,12000000000
20203,1,10,0,12000000000
20311,1,10,0,12000000000
20312,1,10,0,12000000000
20313,1,10,0,12000000000
20321,1,10,0,12000000000
20322,1,10,0,12000000000
20411,1,10,0,12000000000
20412,1,10,0,12000000000
20413,1,10,0,12000000000
20421,1,10,0,12000000000
20422,1,10,0,12000000000
20423,1,10,0,12000000000
20424,1,10,0,12000000000
20491,1,10,0,12000000000
20492,1,10,0,12000000000
20493,1,10,0,12000000000
20494,1,10,0,12000000000
20495,1,10,0,12000000000
20499,1,10,0,12000000000
20501,1,10,0,12000000000
20502,1,10,0,12000000000
21100,1,10,0,12000000000
21211,1,10,0,12000000000
21212,1,10,0,12000000000
21220,1,10,0,12000000000
21230,1,10,0,12000000000
21301,1,10,0,12000000000
21309,1,10,0,12000000000
22110,1,10,0,8000000000
22191,1,10,0,8000000000
22192,1,10,0,8000000000
22193,1,10,0,8000000000
22199,1,10,0,8000000000
22211,1,10,0,8000000000
22212,1,10,0,8000000000
22213,1,10,0,8000000000
22214,1,10,0,8000000000
22221,1,10,0,8000000000
22222,1,10,0,8000000000
22223,1,10,0,8000000000
22229,1,10,0,8000000000
22231,1,10,0,8000000000
22232,1,10,0,8000000000
22241,1,10,0,8000000000
22249,1,10,0,8000000000
22251,1,10,0,8000000000
22259,1,10,0,8000000000
22291,1,10,0,8000000000
22292,1,10,0,8000000000
22299,1,10,0,8000000000
23111,1,10,0,12000000000
23112,1,10,0,12000000000
23119,1,10,0,12000000000
23121,1,10,0,12000000000
23122,1,10,0,12000000000
23129,1,10,0,12000000000
23191,1,10,0,12000000000
23192,1,10,0,12000000000
23199,1,10,0,12000000000
23211,1,10,0,12000000000
23212,1,10,0,12000000000
23221,1,10,0,12000000000
23222,1,10,0,12000000000
23229,1,10,0,12000000000
23231,1,10,0,12000000000
23232,1,10,0,12000000000
23239,1,10,0,12000000000
23311,1,10,0,12000000000
23312,1,10,0,12000000000
23321,1,10,0,12000000000
23322,1,10,0,12000000000
23323,1,10,0,12000000000
23324,1,10,0,12000000000
23325,1,10,0,12000000000
23326,1,10,0,12000000000
23329,1,10,0,12000000000
23911,1,10,0,12000000000
23919,1,10,0,12000000000
23991,1,10,0,12000000000
23992,1,10,0,12000000000
23993,1,10,0,12000000000
23994,1,10,0,12000000000
23995,1,10,0,12000000000
23999,1,10,0,12000000000
24111,1,10,0,12000000000
24112,1,10,0,12000000000
24113,1,10,0,12000000000
24119,1,10,0,12000000000
24121,1,10,0,12000000000
24122,1,10,0,12000000000
24123,1,10,0,12000000000
24131,1,10,0,12000000000
24132,1,10,0,12000000000
24133,1,10,0,12000000000
24191,1,10,0,12000000000
24199,1,10,0,12000000000
24211,1,10,0,12000000000
24212,1,10,0,12000000000
24213,1,10,0,12000000000
24219,1,10,0,12000000000
24221,1,10,0,12000000000
24222,1,10,0,12000000000
24229,1,10,0,12000000000
24290,1,10,0,12000000000
24311,1,10,0,12000000000
24312,1,10,0,12000000000
24321,1,10,0,12000000000
24329,1,10,0,12000000000
25111,1,10,0,12000000000
25112,1,10,0,12000000000
25113,1,10,0,12000000000
25114,1,10,0,12000000000
25119,1,10,0,12000000000
25121,1,10,0,12000000000
25122,1,10,0,12000000000
25123,1,10,0,12000000000
25130,1,10,0,12000000000
25200,1,10,0,12000000000
25911,1,10,0,12000000000
25912,1,10,0,12000000000
25913,1,10,0,12000000000
25914,1,10,0,12000000000
25921,1,10,0,12000000000
25922,1,10,0,12000000000
25923,1,10,0,12000000000
25924,1,10,0,12000000000
25929,1,10,0,12000000000
25931,1,10,0,12000000000
25932,1,10,0,12000000000
25933,1,10,0,12000000000
25934,1,10,0,12000000000
25941,1,10,0,12000000000
25942,1,10,0,12000000000
25943,1,10,0,12000000000
25944,1,10,0,12000000000
25991,1,10,0,12000000000
